Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.19_16.06.33,-8.499921,51.893305,0,A,2,LTE,-89,-11,2.0,8,-73,0,0,I,-95.0,-17.0,-8.502261,51.89038,362.73000000000002
2018.01.19_16.06.33,-8.49995,51.893425,0,A,2,LTE,-89,-11,2.0,8,-73,0,0,I,-95.0,-17.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.33,-8.49995,51.893425,0,A,2,LTE,-89,-11,2.0,8,-75,0,0,I,-95.0,-17.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.34,-8.49995,51.893425,0,A,2,LTE,-92,-12,2.0,8,-75,56,17,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.36,-8.49995,51.893425,0,A,2,LTE,-92,-12,2.0,9,-75,3436,71,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.37,-8.49995,51.893425,0,A,2,LTE,-90,-14,4.0,6,-73,14505,222,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.38,-8.49995,51.893425,0,A,2,LTE,-90,-14,4.0,7,-69,16776,232,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.39,-8.49995,51.893425,0,A,2,LTE,-90,-14,4.0,6,-73,10166,153,D,-96.0,-19.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.40,-8.49995,51.893425,0,A,2,LTE,-90,-14,4.0,5,-65,12280,181,D,-96.0,-19.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.41,-8.49995,51.893425,0,A,2,LTE,-79,-13,3.0,6,-62,17648,240,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.42,-8.49995,51.893425,0,A,2,LTE,-79,-13,3.0,6,-70,15601,214,D,-,-,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.43,-8.49995,51.893425,0,A,2,LTE,-87,-13,4.0,6,-68,20175,274,D,-92.0,-20.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.44,-8.49995,51.893425,0,A,2,LTE,-87,-13,4.0,6,-70,25499,367,D,-92.0,-20.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.45,-8.49995,51.893425,0,A,2,LTE,-87,-13,5.0,6,-72,26103,329,D,-94.0,-19.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.47,-8.49995,51.893425,0,A,2,LTE,-87,-13,5.0,6,-68,16440,251,D,-94.0,-19.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.48,-8.49995,51.893425,0,A,2,LTE,-86,-14,4.0,6,-68,7828,125,D,-93.0,-20.0,-8.502261,51.89038,373.88999999999999
2018.01.19_16.06.49,-8.49995,51.893425,0,A,2,LTE,-86,-14,4.0,6,-68,10367,148,D,-93.0,-20.0,-8.502261,51.89038,373.88999999999999
