Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.12.14_17.49.58,-8.501979,51.893004,1,B,3,LTE,-93,-10,5.0,12,-79,0,0,I,-98.0,-15.0,-8.499074,51.887362,658.27999999999997
2017.12.14_17.49.58,-8.501979,51.893004,1,B,3,LTE,-96,-7,9.0,12,-79,0,0,I,-100.0,-12.0,-8.499074,51.887362,658.27999999999997
2017.12.14_17.49.59,-8.501366,51.893015,0,B,3,LTE,-96,-7,9.0,12,-79,0,0,I,-100.0,-12.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.00,-8.501366,51.893015,0,B,3,LTE,-96,-7,9.0,10,-77,0,0,I,-100.0,-12.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.01,-8.501366,51.893015,0,B,3,LTE,-94,-11,10.0,10,-77,0,0,I,-98.0,-15.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.02,-8.501366,51.893015,0,B,3,LTE,-94,-11,10.0,10,-77,0,0,I,-98.0,-15.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.03,-8.501366,51.893015,0,B,3,LTE,-95,-8,11.0,10,-77,0,0,I,-98.0,-12.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.04,-8.501366,51.893015,0,B,3,LTE,-95,-8,11.0,10,-77,0,0,I,-98.0,-12.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.05,-8.501366,51.893015,0,B,3,LTE,-93,-9,12.0,10,-77,0,0,I,-100.0,-13.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.06,-8.501366,51.893015,0,B,3,LTE,-93,-9,12.0,10,-77,0,0,I,-100.0,-13.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.07,-8.501366,51.893015,0,B,3,LTE,-94,-11,13.0,10,-77,0,0,I,-100.0,-17.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.08,-8.501366,51.893015,0,B,3,LTE,-94,-11,13.0,10,-77,2395,92,D,-100.0,-17.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.09,-8.501366,51.893015,0,B,3,LTE,-98,-11,11.0,6,-81,4406,138,D,-100.0,-16.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.11,-8.501366,51.893015,0,B,3,LTE,-98,-11,11.0,6,-81,4842,90,D,-100.0,-16.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.12,-8.501366,51.893015,0,B,3,LTE,-99,-9,8.0,6,-81,5043,93,D,-100.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.13,-8.501366,51.893015,0,B,3,LTE,-99,-9,8.0,6,-81,4641,86,D,-100.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.14,-8.501366,51.893015,0,B,3,LTE,-97,-10,5.0,8,-79,4630,86,D,-96.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.15,-8.501366,51.893015,0,B,3,LTE,-97,-10,5.0,8,-79,5092,104,D,-96.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.16,-8.501366,51.893015,0,B,3,LTE,-97,-11,3.0,8,-79,4898,91,D,-97.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.17,-8.501366,51.893015,0,B,3,LTE,-97,-11,3.0,7,-81,4663,86,D,-97.0,-11.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.18,-8.501366,51.893015,0,B,3,LTE,-95,-8,5.0,12,-78,4428,81,D,-96.0,-13.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.19,-8.501366,51.893015,0,B,3,LTE,-95,-8,5.0,12,-78,4831,89,D,-96.0,-13.0,-8.499074,51.887362,647.97000000000003
2017.12.14_17.50.20,-8.501366,51.893015,0,B,3,LTE,-96,-9,6.0,12,-78,4697,88,D,-97.0,-12.0,-8.499074,51.887362,647.97000000000003
